"","Tax","Counts","RA","SampleID"
"1","Carnobacterium_inhibens",5,0.00113791533909877,"Z2_16S"
"2","Carnobacterium_sp",1,0.000227583067819754,"Z2_16S"
"3","Enterococcus_avium",1,0.000227583067819754,"Z2_16S"
"4","Enterococcus_faecium",27,0.00614474283113336,"Z2_16S"
"5","Geobacillus_sp",1,0.000227583067819754,"Z2_16S"
"6","Lactobacillus_amylolyticus",4,0.000910332271279017,"Z2_16S"
"7","Lactobacillus_brevis",77,0.0175238962221211,"Z2_16S"
"8","Lactobacillus_buchneri",269,0.0612198452435139,"Z2_16S"
"9","Lactobacillus_casei",1655,0.376649977241693,"Z2_16S"
"10","Lactobacillus_delbrueckii",50,0.0113791533909877,"Z2_16S"
"11","Lactobacillus_fermentum",1250,0.284478834774693,"Z2_16S"
"12","Lactobacillus_gasseri",12,0.00273099681383705,"Z2_16S"
"13","Lactobacillus_ginsenosidimutans",40,0.00910332271279017,"Z2_16S"
"14","Lactobacillus_hokkaidonensis",2,0.000455166135639508,"Z2_16S"
"15","Lactobacillus_johnsonii",2,0.000455166135639508,"Z2_16S"
"16","Lactobacillus_kunkeei",1,0.000227583067819754,"Z2_16S"
"17","Lactobacillus_mucosae",3,0.000682749203459263,"Z2_16S"
"18","Lactobacillus_oris",41,0.00933090578060992,"Z2_16S"
"19","Lactobacillus_paracasei",649,0.14770141101502,"Z2_16S"
"20","Lactobacillus_pentosus",1,0.000227583067819754,"Z2_16S"
"21","Lactobacillus_plantarum",17,0.00386891215293582,"Z2_16S"
"22","Lactobacillus_reuteri",1,0.000227583067819754,"Z2_16S"
"23","Lactobacillus_rhamnosus",69,0.015703231679563,"Z2_16S"
"24","Lactobacillus_ruminis",3,0.000682749203459263,"Z2_16S"
"25","Lactobacillus_sakei",4,0.000910332271279017,"Z2_16S"
"26","Lactobacillus_salivarius",48,0.0109239872553482,"Z2_16S"
"27","Lactococcus_lactis",1,0.000227583067819754,"Z2_16S"
"28","Leuconostoc_lactis",3,0.000682749203459263,"Z2_16S"
"29","Pediococcus_claussenii",83,0.0188893946290396,"Z2_16S"
"30","Pediococcus_pentosaceus",74,0.0168411470186618,"Z2_16S"
