"","Query","Tax","Matching","MapQ","AS.max"
"831","0cb77de7-af9d-4178-b798-600e690522f5","Lactobacillus_paracasei",95.2674897119342,0,2494
"4230","416d0e06-b952-4629-8dde-6289b7c79f36","Lactobacillus_paracasei",94.8524365133837,0,2432
"4376","44517acc-17f4-4ced-a995-f3776c020470","Lactobacillus_rhamnosus",87.9662209711471,0,1790
"6827","6667518c-0d9a-411d-b68c-be36af6a7cff","Lactobacillus_fermentum",87.8723404255319,0,1734
"13798","cc176da4-00e9-465b-a8ef-5218bad32410","Lactobacillus_paracasei",91.5629322268326,0,2124
"14873","dcb7274d-ada4-4ea8-a28e-fc1bf671d1e6","Lactobacillus_paracasei",95.0232249502322,0,2522
"15924","ec45b280-8702-48ec-b6d6-3934f6e92de1","Lactobacillus_paracasei",92.1733053808526,0,2176
"16086","ef2acf78-91a7-4e45-94d8-ea89aefa559f","Lactobacillus_paracasei",88.5010266940452,0,1846
"16184","f0abd6a4-e055-4b56-869b-665d6487e902","Lactobacillus_fermentum",93.4347477982386,0,1996
"2","00022960-a063-413f-934b-d4bc06063479","Lactobacillus_casei",86.6579463701766,0,1794
"5","0013b0df-03d3-4884-be26-edc16432e067","Lactobacillus_fermentum",91.5181753385602,0,2094
"7","00286e3c-5e6a-4e0d-acf5-d8affb42dca1","Lactobacillus_casei",94.914089347079,0,2450
"9","002b724c-264c-4301-bfbb-e7a815ab069a","Lactobacillus_casei",92.6279863481229,0,2256
"14","0035383f-246f-42f9-a823-89c24c3a215f","Lactobacillus_fermentum",82.4807288016818,1,1342
"18","003772ca-5e99-42a4-9da7-67de38ca9e7f","Lactobacillus_casei",88.0920162381597,0,1856
"24","00424f4f-313d-4570-ab9f-3dca443f3563","Lactobacillus_fermentum",92.5220938137322,8,2242
"29","0047c5cf-8c3a-46db-81b1-fe3d2753b4a0","Lactobacillus_paracasei",91.8996415770609,1,2092
"31","00572197-40b7-4eb4-9390-7d3baa777cb0","Lactobacillus_casei",89.1008174386921,0,1952
"35","006b25ec-7883-474f-adb5-76078162236a","Lactobacillus_casei",93.8356164383562,0,2340
"37","00710138-bfb3-40b5-9c1e-be7c30ea78e0","Lactobacillus_casei",94.1055517477724,0,2376
