op	Tax
operon100_1	Mycobacterium_africanum
operon100_2	Staphylococcus_aureus
operon100_3	Staphylococcus_aureus
operon100_4	Staphylococcus_aureus
operon100_5	Staphylococcus_aureus
operon100_6	Staphylococcus_aureus
operon100_7	Streptococcus_pneumoniae
operon100_8	Staphylococcus_aureus
operon100_9	Staphylococcus_aureus
operon100_10	Staphylococcus_aureus
operon100_11	Mycobacterium_tuberculosis
operon100_12	Streptococcus_suis
operon100_13	Acinetobacter_baumannii
operon100_14	Staphylococcus_aureus
operon100_15	Staphylococcus_aureus
operon100_16	Bordetella_pertussis
operon100_17	Brucella_abortus
operon100_18	Acinetobacter_baumannii
operon100_19	Mycobacterium_tuberculosis
operon100_20	Streptococcus_pneumoniae
operon100_21	Mycobacterium_tuberculosis
operon100_22	Streptococcus_pyogenes
operon100_23	Streptococcus_pneumoniae
operon100_24	Streptococcus_pneumoniae
operon100_25	Streptococcus_pyogenes
operon100_26	Acinetobacter_baumannii
operon100_27	Mycobacterium_tuberculosis
operon100_28	Mycobacterium_tuberculosis
operon100_29	Staphylococcus_aureus
operon100_30	Streptococcus_pneumoniae
operon100_31	Pseudomonas_aeruginosa
operon100_32	Streptococcus_pneumoniae
operon100_33	Streptococcus_pneumoniae
operon100_34	Acinetobacter_baumannii
operon100_35	Mycobacterium_tuberculosis
operon100_36	Brucella_ovis
operon100_37	Mycobacterium_abscessus
operon100_38	Streptococcus_pyogenes
operon100_39	Staphylococcus_aureus
operon100_40	Mycobacterium_tuberculosis
operon100_41	Staphylococcus_aureus
operon100_42	Streptococcus_pyogenes
operon100_43	Mycobacterium_tuberculosis
operon100_44	Streptococcus_pneumoniae
operon100_45	Streptococcus_pneumoniae
operon100_46	Burkholderia_pseudomallei
operon100_47	Streptococcus_pneumoniae
operon100_48	Streptococcus_pneumoniae
operon100_49	Staphylococcus_aureus
operon100_50	Campylobacter_jejuni
operon100_51	Staphylococcus_aureus
operon100_52	Streptococcus_pneumoniae
operon100_53	Staphylococcus_aureus
operon100_54	Staphylococcus_aureus
operon100_55	Xanthomonas_citri
operon100_56	Brucella_canis
operon100_57	Streptococcus_pneumoniae
operon100_58	Streptococcus_pneumoniae
operon100_59	Streptococcus_pyogenes
operon100_60	Streptococcus_pneumoniae
operon100_61	Streptococcus_pneumoniae
operon100_62	Staphylococcus_aureus
operon100_63	Neisseria_meningitidis
operon100_64	Streptococcus_pyogenes
operon100_65	Staphylococcus_aureus
operon100_66	Streptococcus_pneumoniae
operon100_67	Staphylococcus_aureus
operon100_68	Acetobacter_pasteurianus
operon100_69	Klebsiella_oxytoca
operon100_70	Streptococcus_pneumoniae
operon100_71	Streptococcus_pneumoniae
operon100_72	Streptococcus_pneumoniae
operon100_73	Staphylococcus_aureus
operon100_74	Streptococcus_pneumoniae
operon100_75	Streptococcus_pneumoniae
operon100_76	Streptococcus_pneumoniae
operon100_77	Streptococcus_pneumoniae
operon100_78	Streptococcus_pneumoniae
operon100_79	Neisseria_gonorrhoeae
operon100_80	Mycobacterium_abscessus
operon100_81	Streptococcus_suis
operon100_82	Acinetobacter_baumannii
operon100_83	Mycobacterium_abscessus
operon100_84	Pseudomonas_aeruginosa
operon100_85	Klebsiella_oxytoca
operon100_86	Streptococcus_pneumoniae
operon100_87	Streptococcus_pneumoniae
operon100_88	Acinetobacter_baumannii
operon100_89	Staphylococcus_aureus
operon100_90	Neisseria_gonorrhoeae
operon100_91	Brucella_abortus
operon100_92	Campylobacter_jejuni
operon100_93	Klebsiella_oxytoca
operon100_94	Neisseria_meningitidis
operon100_95	Staphylococcus_aureus
operon100_96	Mycobacterium_tuberculosis
operon100_97	Xanthomonas_euvesicatoria
operon100_98	Klebsiella_oxytoca
operon100_99	Streptococcus_pneumoniae
operon100_100	Streptococcus_pneumoniae
operon100_101	Streptococcus_pneumoniae
operon100_102	Streptococcus_pneumoniae
operon100_103	Streptococcus_pneumoniae
operon100_104	Staphylococcus_aureus
operon100_105	Burkholderia_pseudomallei
operon100_106	Klebsiella_pneumoniae
operon100_107	Streptococcus_pneumoniae
operon100_108	Neisseria_gonorrhoeae
operon100_109	Escherichia_coli
operon100_110	Escherichia_coli
operon100_111	Pseudomonas_aeruginosa
operon100_112	Elizabethkingia_anophelis
operon100_113	Streptococcus_pneumoniae
operon100_114	Streptococcus_pneumoniae
operon100_115	Streptococcus_pneumoniae
operon100_116	Streptococcus_pneumoniae
operon100_117	Neisseria_gonorrhoeae
operon100_118	Acinetobacter_baumannii
operon100_119	Staphylococcus_aureus
operon100_120	Staphylococcus_aureus
operon100_121	Streptococcus_pneumoniae
operon100_122	Streptococcus_pneumoniae
operon100_123	Streptococcus_pneumoniae
operon100_124	Streptococcus_pneumoniae
